#East Building
#
#Floor 0
E0NA E19
E0NA E20
E0NA E21
E0NA E0NB
#
E0NB E23
E0NB E0BW
E0NB E0NC
#
E0NC E0EG
E0NC E0ND
E0NC E0NE
#
E0ND E1D19
E0ND E0EV
#
E0NE E12
E0NE E13
E0NE E0LR
E0NE E0NF
#
E0NF E0NG
#
E0NG E0NH
E0NG E0NJ
#
E0NH E10
E0NH E0NI
#
E0NI E05
E0NI E08
E0NI E09
#
E0NJ E0BM
E0NJ E0PO
E0NJ E0NK
#
E0NK E1D17
